Issue Type,Issue ID,Summary,Description,Epic Link,Parent,Priority,Story Points,Sprint,Labels,Component
Task,CS-M08-S02-T02,Window 48h check,Sub-task of CS-M08-S02. Est: 2h,CS-EP-08,CS-M08-S02,High,2,S7,"M08,backend",M08
Story,CS-M08-S03,GET reviews public pro,Module M08. Story Points: 2,CS-EP-08,,High,2,S7,"M08,api",M08
Task,CS-M08-S03-T01,GET /reviews/provider/:id,Sub-task of CS-M08-S03. Est: 2h,CS-EP-08,CS-M08-S03,High,2,S7,"M08,backend",M08
Story,CS-M08-S04,Fenêtres 72h avis 48h litige,Module M08. Story Points: 3,CS-EP-08,,High,3,S7,"M08,api",M08
Task,CS-M08-S04-T01,Validation windows RG-QUAL RG-DISPUTE,Sub-task of CS-M08-S04. Est: 3h,CS-EP-08,CS-M08-S04,High,3,S7,"M08,backend",M08
Story,CS-M09-S01,Enregistrement expo push token,Module M09. Story Points: 2,CS-EP-09,,High,2,S7,"M09,api",M09
Task,CS-M09-S01-T01,POST /users/push-token,Sub-task of CS-M09-S01. Est: 2h,CS-EP-09,CS-M09-S01,High,2,S7,"M09,backend",M09
Story,CS-M09-S02,Worker send-push Expo API,Module M09. Story Points: 3,CS-EP-09,,High,3,S7,"M09,api",M09
Task,CS-M09-S02-T01,Notification worker Expo push,Sub-task of CS-M09-S02. Est: 3h,CS-EP-09,CS-M09-S02,High,3,S7,"M09,backend",M09
Story,CS-M09-S03,SMS email templates booking,Module M09. Story Points: 5,CS-EP-09,,High,5,S7,"M09,api",M09
Task,CS-M09-S03-T01,Email templates Brevo,Sub-task of CS-M09-S03. Est: 2h,CS-EP-09,CS-M09-S03,High,2,S7,"M09,backend",M09
Task,CS-M09-S03-T02,SMS templates,Sub-task of CS-M09-S03. Est: 2h,CS-EP-09,CS-M09-S03,High,2,S7,"M09,backend",M09
Task,CS-M09-S03-T03,Queue notifications,Sub-task of CS-M09-S03. Est: 1h,CS-EP-09,CS-M09-S03,High,1,S7,"M09,backend",M09
Story,CS-M09-S04,Events statut mission,Module M09. Story Points: 3,CS-EP-09,,High,3,S7,"M09,api",M09
Task,CS-M09-S04-T01,Triggers on status change,Sub-task of CS-M09-S04. Est: 3h,CS-EP-09,CS-M09-S04,High,3,S7,"M09,backend",M09
Story,CS-M10-S01,Auth admin email role,Module M10. Story Points: 3,CS-EP-10,,Highest,3,S7,M10,M10
Task,CS-M10-S01-T01,Admin login guard,Sub-task of CS-M10-S01. Est: 3h,CS-EP-10,CS-M10-S01,Highest,3,S7,"M10,backend",M10
Story,CS-M10-S02,GET /admin/dashboard KPIs,Module M10. Story Points: 5,CS-EP-10,,High,5,S8,M10,M10
Task,CS-M10-S02-T01,Dashboard aggregation queries,Sub-task of CS-M10-S02. Est: 5h,CS-EP-10,CS-M10-S02,High,5,S8,"M10,backend",M10
Story,CS-M10-S03,Approve reject KYC,Module M10. Story Points: 3,CS-EP-10,,Highest,3,S7,M10,M10
Task,CS-M10-S03-T01,POST approve reject endpoints,Sub-task of CS-M10-S03. Est: 3h,CS-EP-10,CS-M10-S03,Highest,3,S7,"M10,backend",M10
Story,CS-M10-S04,CRUD catalog admin,Module M10. Story Points: 5,CS-EP-10,,Highest,5,S8,M10,M10
Task,CS-M10-S04-T01,Admin catalog CRUD offers options,Sub-task of CS-M10-S04. Est: 5h,CS-EP-10,CS-M10-S04,Highest,5,S8,"M10,backend",M10
Story,CS-M10-S05,CRUD zones pricing,Module M10. Story Points: 5,CS-EP-10,,Highest,5,S8,M10,M10
Task,CS-M10-S05-T01,Admin zones CRUD polygon pricing,Sub-task of CS-M10-S05. Est: 5h,CS-EP-10,CS-M10-S05,Highest,5,S8,"M10,backend",M10
Story,CS-M10-S06,Admin bookings search refund,Module M10. Story Points: 3,CS-EP-10,,High,3,S8,M10,M10
Task,CS-M10-S06-T01,Admin bookings list refund,Sub-task of CS-M10-S06. Est: 3h,CS-EP-10,CS-M10-S06,High,3,S8,"M10,backend",M10
Story,CS-M10-S07,Resolve disputes,Module M10. Story Points: 3,CS-EP-10,,High,3,S8,M10,M10
Task,CS-M10-S07-T01,PATCH admin disputes resolve,Sub-task of CS-M10-S07. Est: 3h,CS-EP-10,CS-M10-S07,High,3,S8,"M10,backend",M10
Story,CS-M10-S08,PATCH /admin/config,Module M10. Story Points: 3,CS-EP-10,,Highest,3,S8,M10,M10
Task,CS-M10-S08-T01,platform_config commission timeouts,Sub-task of CS-M10-S08. Est: 3h,CS-EP-10,CS-M10-S08,Highest,3,S8,"M10,backend",M10
Story,CS-M11-S01,Setup Expo Router design tokens,Module M11. Story Points: 3,CS-EP-11,,Highest,3,S6,M11,M11
Task,CS-M11-S01-T01,Expo Router layout tabs,Sub-task of CS-M11-S01. Est: 2h,CS-EP-11,CS-M11-S01,Highest,2,S6,"M11,mobile-client",M11
Task,CS-M11-S01-T01b,NativeWind ui-tokens,Sub-task of CS-M11-S01. Est: 1h,CS-EP-11,CS-M11-S01,Highest,1,S6,"M11,mobile-client",M11
Story,CS-M11-S02,Écrans auth C01 OTP,Module M11. Story Points: 5,CS-EP-11,,Highest,5,S6,M11,M11
Task,CS-M11-S02-T01,Login phone input,Sub-task of CS-M11-S02. Est: 2h,CS-EP-11,CS-M11-S02,Highest,2,S6,"M11,mobile-client",M11
Task,CS-M11-S02-T02,OTP verify screen,Sub-task of CS-M11-S02. Est: 2h,CS-EP-11,CS-M11-S02,Highest,2,S6,"M11,mobile-client",M11
Task,CS-M11-S02-T03,SecureStore tokens,Sub-task of CS-M11-S02. Est: 1h,CS-EP-11,CS-M11-S02,Highest,1,S6,"M11,mobile-client",M11
Story,CS-M11-S03,C03 Home navigation tabs,Module M11. Story Points: 5,CS-EP-11,,Highest,5,S7,M11,M11
Task,CS-M11-S03-T01,Home hero CTA formules,Sub-task of CS-M11-S03. Est: 3h,CS-EP-11,CS-M11-S03,Highest,3,S7,"M11,mobile-client",M11
Task,CS-M11-S03-T02,Tab bar accueil réservations profil,Sub-task of CS-M11-S03. Est: 2h,CS-EP-11,CS-M11-S03,Highest,2,S7,"M11,mobile-client",M11
Story,CS-M11-S04,Parcours booking C04-C07,Module M11. Story Points: 13,CS-EP-11,,Highest,13,S7-S8,M11,M11
Task,CS-M11-S04-T01,Layout stepper routes booking,Sub-task of CS-M11-S04. Est: 2h,CS-EP-11,CS-M11-S04,Highest,2,S7-S8,"M11,mobile-client",M11
Task,CS-M11-S04-T02,C04 formula liste offres,Sub-task of CS-M11-S04. Est: 2h,CS-EP-11,CS-M11-S04,Highest,2,S7-S8,"M11,mobile-client",M11
Task,CS-M11-S04-T03,C05 config quote live,Sub-task of CS-M11-S04. Est: 3h,CS-EP-11,CS-M11-S04,Highest,3,S7-S8,"M11,mobile-client",M11
Task,CS-M11-S04-T04,C06 adresse carte zone check,Sub-task of CS-M11-S04. Est: 3h,CS-EP-11,CS-M11-S04,Highest,3,S7-S8,"M11,mobile-client",M11
Task,CS-M11-S04-T05,C07 créneau calendrier,Sub-task of CS-M11-S04. Est: 3h,CS-EP-11,CS-M11-S04,Highest,3,S7-S8,"M11,mobile-client",M11
Task,CS-M11-S04-T06,Zustand booking draft,Sub-task of CS-M11-S04. Est: 2h,CS-EP-11,CS-M11-S04,Highest,2,S7-S8,"M11,mobile-client",M11
Story,CS-M11-S05,C08 Paiement Stripe PaymentSheet,Module M11. Story Points: 8,CS-EP-11,,Highest,8,S8,M11,M11
Task,CS-M11-S05-T01,Stripe react-native setup,Sub-task of CS-M11-S05. Est: 3h,CS-EP-11,CS-M11-S05,Highest,3,S8,"M11,mobile-client",M11
Task,CS-M11-S05-T02,C08 récap CGV,Sub-task of CS-M11-S05. Est: 2h,CS-EP-11,CS-M11-S05,Highest,2,S8,"M11,mobile-client",M11
Task,CS-M11-S05-T03,Flow booking PaymentSheet,Sub-task of CS-M11-S05. Est: 3h,CS-EP-11,CS-M11-S05,Highest,3,S8,"M11,mobile-client",M11
Story,CS-M11-S06,C09 Confirmation,Module M11. Story Points: 2,CS-EP-11,,Highest,2,S8,M11,M11
Task,CS-M11-S06-T01,Confirmation screen animation,Sub-task of CS-M11-S06. Est: 2h,CS-EP-11,CS-M11-S06,Highest,2,S8,"M11,mobile-client",M11
Story,CS-M11-S07,C10 Suivi mission timeline,Module M11. Story Points: 8,CS-EP-11,,Highest,8,S8,M11,M11
Task,CS-M11-S07-T01,Timeline component statuts,Sub-task of CS-M11-S07. Est: 3h,CS-EP-11,CS-M11-S07,Highest,3,S8,"M11,mobile-client",M11
Task,CS-M11-S07-T02,Provider card accepted,Sub-task of CS-M11-S07. Est: 2h,CS-EP-11,CS-M11-S07,Highest,2,S8,"M11,mobile-client",M11
Task,CS-M11-S07-T03,Polling ou push refresh,Sub-task of CS-M11-S07. Est: 3h,CS-EP-11,CS-M11-S07,Highest,3,S8,"M11,mobile-client",M11
Story,CS-M11-S08,C11 Avis,Module M11. Story Points: 3,CS-EP-11,,High,3,S9,M11,M11
Task,CS-M11-S08-T01,Rating stars tags submit,Sub-task of CS-M11-S08. Est: 3h,CS-EP-11,CS-M11-S08,High,3,S9,"M11,mobile-client",M11
Story,CS-M11-S09,C12 Liste réservations,Module M11. Story Points: 3,CS-EP-11,,High,3,S9,M11,M11
Task,CS-M11-S09-T01,Tabs à venir passées,Sub-task of CS-M11-S09. Est: 3h,CS-EP-11,CS-M11-S09,High,3,S9,"M11,mobile-client",M11
Story,CS-M11-S10,C13 Profil adresses,Module M11. Story Points: 3,CS-EP-11,,High,3,S9,M11,M11
Task,CS-M11-S10-T01,Profile addresses CRUD,Sub-task of CS-M11-S10. Est: 3h,CS-EP-11,CS-M11-S10,High,3,S9,"M11,mobile-client",M11
Story,CS-M11-S11,Push notifications client,Module M11. Story Points: 3,CS-EP-11,,High,3,S9,M11,M11
Task,CS-M11-S11-T01,Expo notifications register,Sub-task of CS-M11-S11. Est: 3h,CS-EP-11,CS-M11-S11,High,3,S9,"M11,mobile-client",M11
Story,CS-M11-S12,Google Places autocomplete C06,Module M11. Story Points: 5,CS-EP-11,,Highest,5,S8,M11,M11
Task,CS-M11-S12-T01,Places autocomplete integration,Sub-task of CS-M11-S12. Est: 5h,CS-EP-11,CS-M11-S12,Highest,5,S8,"M11,mobile-client",M11
Story,CS-M12-S01,Setup Expo Router pro tabs,Module M12. Story Points: 3,CS-EP-12,,Highest,3,S7,M12,M12
Task,CS-M12-S01-T01,Pro app layout tabs missions,Sub-task of CS-M12-S01. Est: 3h,CS-EP-12,CS-M12-S01,Highest,3,S7,"M12,mobile-pro",M12
Story,CS-M12-S02,Auth P00 OTP,Module M12. Story Points: 3,CS-EP-12,,Highest,3,S7,M12,M12
Task,CS-M12-S02-T01,Pro login OTP flow,Sub-task of CS-M12-S02. Est: 3h,CS-EP-12,CS-M12-S02,Highest,3,S7,"M12,mobile-pro",M12
Story,CS-M12-S03,KYC wizard P01 7 steps,Module M12. Story Points: 13,CS-EP-12,,Highest,13,S8,M12,M12
Task,CS-M12-S03-T01,Steps 1-2 société RC Pro upload,Sub-task of CS-M12-S03. Est: 3h,CS-EP-12,CS-M12-S03,Highest,3,S8,"M12,mobile-pro",M12
Task,CS-M12-S03-T02,Steps 3-4 méthodes zones,Sub-task of CS-M12-S03. Est: 3h,CS-EP-12,CS-M12-S03,Highest,3,S8,"M12,mobile-pro",M12
Task,CS-M12-S03-T03,Steps 5-6 capabilities dispo,Sub-task of CS-M12-S03. Est: 3h,CS-EP-12,CS-M12-S03,Highest,3,S8,"M12,mobile-pro",M12
Task,CS-M12-S03-T04,Step 7 avatar submit,Sub-task of CS-M12-S03. Est: 2h,CS-EP-12,CS-M12-S03,Highest,2,S8,"M12,mobile-pro",M12
Task,CS-M12-S03-T05,Pending screen blocage,Sub-task of CS-M12-S03. Est: 2h,CS-EP-12,CS-M12-S03,Highest,2,S8,"M12,mobile-pro",M12
Story,CS-M12-S04,P02 Liste missions 3 tabs,Module M12. Story Points: 5,CS-EP-12,,Highest,5,S9,M12,M12
Task,CS-M12-S04-T01,Mission cards list segments,Sub-task of CS-M12-S04. Est: 5h,CS-EP-12,CS-M12-S04,Highest,5,S9,"M12,mobile-pro",M12
Story,CS-M12-S05,P03 Détail accept decline,Module M12. Story Points: 5,CS-EP-12,,Highest,5,S9,M12,M12
Task,CS-M12-S05-T01,Detail timer accept decline,Sub-task of CS-M12-S05. Est: 5h,CS-EP-12,CS-M12-S05,Highest,5,S9,"M12,mobile-pro",M12
Story,CS-M12-S06,P04 En route Maps tel,Module M12. Story Points: 5,CS-EP-12,,Highest,5,S9,M12,M12
Task,CS-M12-S06-T01,Maps navigation call client,Sub-task of CS-M12-S06. Est: 5h,CS-EP-12,CS-M12-S06,Highest,5,S9,"M12,mobile-pro",M12
Story,CS-M12-S07,P05 Checklist upload photos,Module M12. Story Points: 8,CS-EP-12,,Highest,8,S10,M12,M12
Task,CS-M12-S07-T01,Checklist dynamic template,Sub-task of CS-M12-S07. Est: 3h,CS-EP-12,CS-M12-S07,Highest,3,S10,"M12,mobile-pro",M12
Task,CS-M12-S07-T02,Photo upload presigned,Sub-task of CS-M12-S07. Est: 3h,CS-EP-12,CS-M12-S07,Highest,3,S10,"M12,mobile-pro",M12
Task,CS-M12-S07-T03,Complete mission flow,Sub-task of CS-M12-S07. Est: 2h,CS-EP-12,CS-M12-S07,Highest,2,S10,"M12,mobile-pro",M12
Story,CS-M12-S08,P08 Gains historique,Module M12. Story Points: 5,CS-EP-12,,High,5,S10,M12,M12
Task,CS-M12-S08-T01,Earnings list API,Sub-task of CS-M12-S08. Est: 5h,CS-EP-12,CS-M12-S08,High,5,S10,"M12,mobile-pro",M12
Story,CS-M12-S09,P07 Planning disponibilités,Module M12. Story Points: 5,CS-EP-12,,High,5,S10,M12,M12
Task,CS-M12-S09-T01,Availability editor calendar,Sub-task of CS-M12-S09. Est: 5h,CS-EP-12,CS-M12-S09,High,5,S10,"M12,mobile-pro",M12
Story,CS-M12-S10,Stripe Connect onboarding,Module M12. Story Points: 5,CS-EP-12,,Highest,5,S9,M12,M12
Task,CS-M12-S10-T01,Open Account Link web browser,Sub-task of CS-M12-S10. Est: 5h,CS-EP-12,CS-M12-S10,Highest,5,S9,"M12,mobile-pro",M12
Story,CS-M12-S11,Push nouvelle mission high,Module M12. Story Points: 3,CS-EP-12,,Highest,3,S10,M12,M12
Task,CS-M12-S11-T01,High priority push handler,Sub-task of CS-M12-S11. Est: 3h,CS-EP-12,CS-M12-S11,Highest,3,S10,"M12,mobile-pro",M12
Story,CS-M13-S01,Setup Next.js shadcn auth,Module M13. Story Points: 5,CS-EP-13,,Highest,5,S8,M13,M13
Task,CS-M13-S01-T01,Next app router shadcn,Sub-task of CS-M13-S01. Est: 2h,CS-EP-13,CS-M13-S01,Highest,2,S8,"M13,admin",M13
Task,CS-M13-S01-T02,Login middleware protect,Sub-task of CS-M13-S01. Est: 3h,CS-EP-13,CS-M13-S01,Highest,3,S8,"M13,admin",M13
Story,CS-M13-S02,A02 Dashboard KPIs,Module M13. Story Points: 5,CS-EP-13,,High,5,S9,M13,M13
Task,CS-M13-S02-T01,Dashboard charts API,Sub-task of CS-M13-S02. Est: 5h,CS-EP-13,CS-M13-S02,High,5,S9,"M13,admin",M13
Story,CS-M13-S03,A03 Validation KYC pros,Module M13. Story Points: 5,CS-EP-13,,Highest,5,S9,M13,M13
Task,CS-M13-S03-T01,DataTable pros pending,Sub-task of CS-M13-S03. Est: 2h,CS-EP-13,CS-M13-S03,Highest,2,S9,"M13,admin",M13
Task,CS-M13-S03-T02,Document viewer,Sub-task of CS-M13-S03. Est: 2h,CS-EP-13,CS-M13-S03,Highest,2,S9,"M13,admin",M13
Task,CS-M13-S03-T03,Approve reject actions,Sub-task of CS-M13-S03. Est: 1h,CS-EP-13,CS-M13-S03,Highest,1,S9,"M13,admin",M13
Story,CS-M13-S04,A04 CRUD catalog,Module M13. Story Points: 8,CS-EP-13,,Highest,8,S9,M13,M13
Task,CS-M13-S04-T01,Offers CRUD forms,Sub-task of CS-M13-S04. Est: 4h,CS-EP-13,CS-M13-S04,Highest,4,S9,"M13,admin",M13
Task,CS-M13-S04-T02,Options CRUD,Sub-task of CS-M13-S04. Est: 4h,CS-EP-13,CS-M13-S04,Highest,4,S9,"M13,admin",M13
Story,CS-M13-S05,A05 Zones pricing editor,Module M13. Story Points: 8,CS-EP-13,,Highest,8,S10,M13,M13
Task,CS-M13-S05-T01,Zone list map editor,Sub-task of CS-M13-S05. Est: 5h,CS-EP-13,CS-M13-S05,Highest,5,S10,"M13,admin",M13
Task,CS-M13-S05-T02,Zone pricing overrides,Sub-task of CS-M13-S05. Est: 3h,CS-EP-13,CS-M13-S05,Highest,3,S10,"M13,admin",M13
Story,CS-M13-S06,A06 Bookings refund,Module M13. Story Points: 5,CS-EP-13,,High,5,S10,M13,M13
Task,CS-M13-S06-T01,Bookings search detail refund,Sub-task of CS-M13-S06. Est: 5h,CS-EP-13,CS-M13-S06,High,5,S10,"M13,admin",M13
Story,CS-M13-S07,A07 Litiges resolve,Module M13. Story Points: 5,CS-EP-13,,High,5,S10,M13,M13
Task,CS-M13-S07-T01,Disputes queue resolve UI,Sub-task of CS-M13-S07. Est: 5h,CS-EP-13,CS-M13-S07,High,5,S10,"M13,admin",M13
Story,CS-M13-S08,A09 Settings config,Module M13. Story Points: 3,CS-EP-13,,Highest,3,S10,M13,M13
Task,CS-M13-S08-T01,Settings form commission timeouts,Sub-task of CS-M13-S08. Est: 3h,CS-EP-13,CS-M13-S08,Highest,3,S10,"M13,admin",M13
Story,CS-M14-S01,Collection Bruno Postman API,Module M14. Story Points: 2,CS-EP-14,,High,2,S10,M14,M14
Task,CS-M14-S01-T01,Export OpenAPI Bruno collection,Sub-task of CS-M14-S01. Est: 2h,CS-EP-14,CS-M14-S01,High,2,S10,"M14,infra",M14
Story,CS-M14-S02,Tests E2E manuels SC-01 SC-06,Module M14. Story Points: 5,CS-EP-14,,Highest,5,S11,M14,M14
Task,CS-M14-S02-T01,Execute SC-01 happy path client,Sub-task of CS-M14-S02. Est: 2h,CS-EP-14,CS-M14-S02,Highest,2,S11,"M14,infra",M14
Task,CS-M14-S02-T02,Execute SC-02 pro clôture,Sub-task of CS-M14-S02. Est: 2h,CS-EP-14,CS-M14-S02,Highest,2,S11,"M14,infra",M14
Task,CS-M14-S02-T03,SC-03 à SC-06 edge cases,Sub-task of CS-M14-S02. Est: 1h,CS-EP-14,CS-M14-S02,Highest,1,S11,"M14,infra",M14
Story,CS-M14-S03,EAS build TestFlight APK,Module M14. Story Points: 3,CS-EP-14,,Highest,3,S11,M14,M14
Task,CS-M14-S03-T01,EAS preview builds both apps,Sub-task of CS-M14-S03. Est: 3h,CS-EP-14,CS-M14-S03,Highest,3,S11,"M14,infra",M14
Story,CS-M14-S04,Prod deploy smoke tests,Module M14. Story Points: 5,CS-EP-14,,Highest,5,S11,M14,M14
Task,CS-M14-S04-T01,Prod migration deploy,Sub-task of CS-M14-S04. Est: 3h,CS-EP-14,CS-M14-S04,Highest,3,S11,"M14,infra",M14
Task,CS-M14-S04-T02,Smoke test checklist,Sub-task of CS-M14-S04. Est: 2h,CS-EP-14,CS-M14-S04,Highest,2,S11,"M14,infra",M14
Story,CS-M14-S05,App Store Play submission,Module M14. Story Points: 5,CS-EP-14,,Highest,5,S12,M14,M14
Task,CS-M14-S05-T01,Store listings screenshots,Sub-task of CS-M14-S05. Est: 3h,CS-EP-14,CS-M14-S05,Highest,3,S12,"M14,infra",M14
Task,CS-M14-S05-T02,Submit review demo accounts,Sub-task of CS-M14-S05. Est: 2h,CS-EP-14,CS-M14-S05,Highest,2,S12,"M14,infra",M14
Story,CS-M14-S06,Runbook incident monitoring,Module M14. Story Points: 3,CS-EP-14,,High,3,S12,M14,M14
Task,CS-M14-S06-T01,Alerting Sentry uptime runbook,Sub-task of CS-M14-S06. Est: 3h,CS-EP-14,CS-M14-S06,High,3,S12,"M14,infra",M14
